,Product_Name,Product_prices,Product_desc,Product_review
79,"realme 10 Pro+ 5G (Nebula Blue, 256 GB)","₹27,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display108MP + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryMediatek Dimensity 1080 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.5
80,"realme 10 Pro+ 5G (Hyperspace, 128 GB)","₹25,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display108MP + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryMediatek Dimensity 1080 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.5
81,"realme 10 Pro+ 5G (Dark Matter, 128 GB)","₹25,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display108MP + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryMediatek Dimensity 1080 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.5
82,"SAMSUNG Galaxy S20 FE 5G (Cloud Mint, 128 GB)","₹27,817",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) Display12MP Rear Camera4500 mAh Battery1 Year Warranty,4.2
83,"OnePlus Nord 2T 5G (Jade Fog, 128 GB)","₹28,538",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera4500 mAh Battery12 Month,4.3
84,"SAMSUNG Galaxy M53 5G (Deep Ocean Blue, 128 GB)","₹23,998",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display108MP Rear Camera5000 mAh Battery12 Months Warranty,3.9
85,"SAMSUNG Galaxy S20 FE 5G (Cloud Navy, 128 GB)","₹29,900",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) Display12MP Rear Camera4500 mAh Battery1 Year Warranty,4.2
86,"SAMSUNG Galaxy M33 5G (Mystique Green, 128 GB)","₹18,473",8 GB RAM | 128 GB ROM16.76 cm (6.6 inch) Display50MP Rear Camera6000 mAh Battery1 Year Warranty,4.2
87,"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)","₹28,699",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera4500 mAh Battery12 Month,4.3
88,"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)","₹18,798",8 GB RAM | 128 GB ROM16.76 cm (6.6 inch) Display50MP Rear Camera6000 mAh Battery1 Year Warranty,4.2
89,"REDMI Note 12 Pro 5G (Onyx Black, 256 GB)","₹27,999",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD Display50MP (OIS) + 8MP + 2MP | 16MP Front Camera5000 mAh Lithium Polymer BatteryMediatek Dimensity 1080 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2
90,"SAMSUNG Galaxy M53 5G (Mystique Green, 128 GB)","₹24,085",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display108MP Rear Camera5000 mAh Battery12 Months Warranty,3.9
91,"REDMI Note 12 Pro+ 5G (Iceberg Blue, 256 GB)","₹29,999",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display200MP + 8MP + 2MP | 16MP Front Camera4980 mAh Lithium Polymer BatteryMediatek Dimensity 1080 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
92,"REDMI Note 12 Pro+ 5G (Arctic White, 256 GB)","₹29,999",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display200MP + 8MP + 2MP | 16MP Front Camera4980 mAh Lithium Polymer BatteryMediatek Dimensity 1080 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
93,"Nothing Phone (1) (Black, 128 GB)","₹29,999","8 GB RAM | 128 GB ROM16.64 cm (6.55 inch) Full HD+ Display50MP + 50MP | 16MP Front Camera4500 mAh Lithium-ion BatteryQualcomm Snapdragon 778G+ ProcessorMeet the Glyph Interface. A New Way to Communicate1 Billion Colours, True-to-Life Full HD Flexible OLED Display with HDR10+ for Richer Colour and Deeper Contrasts.1 Year Warranty",4.4
94,"REDMI Note 12 Pro 5G (Stardust Purple, 256 GB)","₹27,999",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD Display50MP (OIS) + 8MP + 2MP | 16MP Front Camera5000 mAh Lithium Polymer BatteryMediatek Dimensity 1080 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2
95,"vivo V23 5G (Stardust Black, 128 GB)","₹26,490",8 GB RAM | 128 GB ROM16.36 cm (6.44 inch) Full HD+ Display64MP + 8MP + 2MP | 50MP + 8MP Dual Front Camera4200 mAh Lithium BatteryMediatek Dimensity 920 Processor1 Year for Handset and 6 Months for Accessories,4.4
96,"REDMI Note 12 Pro+ 5G (Obsidian Black, 256 GB)","₹29,999",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display200MP + 8MP + 2MP | 16MP Front Camera4980 mAh Lithium Polymer BatteryMediatek Dimensity 1080 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
